TMO,équation 8,direct
Fattal,4.428571428571429,4.714285714285714
Kimkautz,3.5,4.0
Mantiuk08,5.0,5.285714285714286
Reinhard02,3.7142857142857144,3.9285714285714284
Gamma,3.857142857142857,5.428571428571429
