TMO,équation 8,direct
Fattal,4.961538461538462,6.269230769230769
Kimkautz,4.461538461538462,6.384615384615385
Mantiuk08,6.461538461538462,6.76
Reinhard02,3.6153846153846154,6.96
Gamma,4.653846153846154,5.269230769230769
