TMO,équation 8,direct
Fattal,3.2777777777777777,3.5
Kimkautz,3.5555555555555554,3.388888888888889
Mantiuk08,3.7777777777777777,5.222222222222222
Reinhard02,3.111111111111111,3.8333333333333335
Gamma,4.055555555555555,5.166666666666667
