Classement_TMO_globaux,score_globaux,Classement_TMO_eq8,score_eq8,Classement_TMO_direct,score_direct
Mantiuk08,5.433225274725275,Mantiuk08,5.232863247863248,Mantiuk08,5.633587301587302
Gamma,5.193934676434678,Gamma,4.946642246642247,Gamma,5.441227106227107
Fattal,4.808473748473749,Fattal,4.648577533577534,Fattal,4.968369963369963
Kimkautz,4.549059829059829,Kimkautz,4.31508547008547,Reinhard02,4.897714285714286
Reinhard02,4.3996019536019535,Reinhard02,3.9014896214896213,Kimkautz,4.783034188034188
