TMO,équation 8,direct
Fattal,4.648577533577534,4.968369963369963
Kimkautz,4.31508547008547,4.783034188034188
Mantiuk08,5.232863247863248,5.633587301587302
Reinhard02,3.9014896214896213,4.897714285714286
Gamma,4.946642246642247,5.441227106227107
