TMO,équation 8,direct
Fattal,5.625,5.208333333333333
Kimkautz,5.458333333333333,5.541666666666667
Mantiuk08,5.875,6.0
Reinhard02,4.166666666666667,4.666666666666667
Gamma,6.416666666666667,6.291666666666667
